FK|From|To|OnDelete
--|----|--|--------
FK_Categories_Menus_MenuId|Categories|Menus|CASCADE
FK_DishDishTags_Dishes_DishId|DishDishTags|Dishes|CASCADE
FK_DishDishTags_DishTags_DishTagId|DishDishTags|DishTags|CASCADE
FK_Dishes_Categories_CategoryId|Dishes|Categories|CASCADE
FK_Dishes_Zones_KitchenZoneId|Dishes|Zones|NO_ACTION
FK_DishImages_Dishes_DishId|DishImages|Dishes|CASCADE
FK_Menus_Restaurants_RestaurantId|Menus|Restaurants|CASCADE
FK_OrderItems_Orders_OrderId|OrderItems|Orders|NO_ACTION
FK_OrderItems_Dishes_DishId|OrderItems|Dishes|NO_ACTION
FK_Orders_TableSessions_TableSessionId|Orders|TableSessions|SET_NULL
FK_Orders_Users_AssignedWaiterId|Orders|Users|NO_ACTION
FK_Orders_Tables_TableId|Orders|Tables|NO_ACTION
FK_Orders_Users_CustomerId|Orders|Users|SET_NULL
FK_Payments_Users_ProcessedByWaiterId|Payments|Users|NO_ACTION
FK_Payments_Orders_OrderId|Payments|Orders|CASCADE
FK_PreOrderItems_ReservationPreOrders_PreOrderId|PreOrderItems|ReservationPreOrders|CASCADE
FK_PreOrderItems_Dishes_DishId|PreOrderItems|Dishes|NO_ACTION
FK_RefreshTokens_Users_UserId|RefreshTokens|Users|CASCADE
FK_ReservationPreOrders_TableReservations_ReservationId|ReservationPreOrders|TableReservations|CASCADE
FK_TableClaimRequests_Users_WaiterId|TableClaimRequests|Users|NO_ACTION
FK_TableClaimRequests_Tables_TableId|TableClaimRequests|Tables|NO_ACTION
FK_TableClaimRequests_Users_RespondedByAdminId|TableClaimRequests|Users|SET_NULL
FK_TableReservations_Tables_TableId|TableReservations|Tables|NO_ACTION
FK_TableReservations_Users_CreatedByHostId|TableReservations|Users|NO_ACTION
FK_Tables_Zones_ZoneId|Tables|Zones|NO_ACTION
FK_Tables_Restaurants_RestaurantId|Tables|Restaurants|CASCADE
FK_TableSessions_Tables_TableId|TableSessions|Tables|NO_ACTION
FK_TableSessions_Users_AssignedByHostId|TableSessions|Users|NO_ACTION
FK_TableSessions_Users_AssignedWaiterId|TableSessions|Users|NO_ACTION
FK_TableTransferRequests_FromWaiter|TableTransferRequests|Users|NO_ACTION
FK_TableTransferRequests_ToWaiter|TableTransferRequests|Users|NO_ACTION
FK_Users_Zones_AssignedZoneId|Users|Zones|NO_ACTION
FK_Users_Restaurants_RestaurantId|Users|Restaurants|NO_ACTION
FK_VirtualTables_Users_CreatedByWaiterId|VirtualTables|Users|NO_ACTION
FK_VirtualTableTables_VirtualTables_VirtualTableId|VirtualTableTables|VirtualTables|CASCADE
FK_VirtualTableTables_Tables_TableId|VirtualTableTables|Tables|CASCADE
FK_WaiterShifts_Users_WaiterId|WaiterShifts|Users|CASCADE
FK_Zones_Restaurants_RestaurantId|Zones|Restaurants|CASCADE

(38 rows affected)
